
2023/07/10 (17:40:18) | ===> btop++ v.1.2.13
2023/07/10 (17:40:18) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/10 (17:42:41) | ===> btop++ v.1.2.13
2023/07/10 (17:42:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/10 (17:43:09) | ===> btop++ v.1.2.13
2023/07/10 (17:43:09) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/10 (18:14:24) | ===> btop++ v.1.2.13
2023/07/10 (18:14:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2023/07/10 (22:30:51) | ===> btop++ v.1.2.13
2023/07/10 (22:30:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
